Time, Fraction, Decimal ID, Hexadecimal ID, Power
44852.4438773,  0.10248, 47829,  BAD5,     9
44852.6031366,  0.46459, 16725,  4155,    23
44852.6490856,  0.07594, 58119,  E307,    14
44852.6620486,  0.55795, 44510,  ADDE,    14
44852.6845139,  0.87398, 45741,  B2AD,    14
44852.8675116,  0.61696, 16725,  4155,    14
44853.9279861,  0.92248, 10970,  2ADA,    14
44853.9600116,  0.03379, 60537,  EC79,    15
44854.5832755,  0.89860, 10970,  2ADA,    15
44854.6348611,  0.56858, 45741,  B2AD,    14
44854.6563194,  0.29191, 34989,  88AD,    14
44855.0073843,  0.40929, 45741,  B2AD,    15
44855.0390972,  0.47128, 63381,  F795,    15
44855.0505208,  0.10910, 49678,  C20E,    28
44855.0656597,  0.25406, 61965,  F20D,    24
44855.4386111,  0.93772, 34989,  88AD,    16
44855.4811458,  0.39717, 45741,  B2AD,    27
44855.6942014,  0.49468, 17441,  4421,    25
44855.8045486,  0.77212, 42476,  A5EC,    14
44855.9245023,  0.17402, 60570,  EC9A,    15
44855.9565972,  0.58039, 27586,  6BC2,    33
44855.9577546,  0.54624, 34989,  88AD,    25
44856.0122569,  0.97737,  4735,  127F,    15
44856.3977894,  0.75897, 10970,  2ADA,    15
44856.4209144,  0.53990, 16725,  4155,    33
44856.4775810,  0.96909, 34989,  88AD,    26
44856.5403241,  0.56604, 30687,  77DF,    25
44856.6128009,  0.35709, 54254,  D3EE,    15
44857.0710532,  0.62462, 58535,  E4A7,    16
44857.6154514,  0.21261, 10970,  2ADA,    14
44857.6253935,  0.59649, 29365,  72B5,    15
44857.6789352,  0.51420, 11596,  2D4C,    15
44857.7198611,  0.49507, 47829,  BAD5,    14
44857.8808565,  0.24669, 10970,  2ADA,    23
44858.6955787,  0.84333, 49678,  C20E,    14
44858.9394444,  0.87436, 44510,  ADDE,    14
44858.9571644,  0.87770, 47829,  BAD5,    14
44859.0144329,  0.54604, 41555,  A253,    14
44859.0153819,  0.66074,  4735,  127F,    14
44859.2071412,  0.72035, 61965,  F20D,    14
44859.4219097,  0.62992, 63381,  F795,    14
44859.6336806,  0.80491, 61965,  F20D,    14
44859.8098958,  0.67396, 10970,  2ADA,    14
44860.2334375,  0.32172, 51282,  C852,    14
44860.2519676,  0.66835, 60537,  EC79,    14
44860.2957639,  0.12921, 42476,  A5EC,    23
44860.3583333,  0.34145, 11596,  2D4C,    14
44860.4342708,  0.62615, 15424,  3C40,    14
44860.5432292,  0.31745, 30639,  77AF,    29
44860.8149769,  0.67396, 27586,  6BC2,    12
44860.8861806,  0.18137, 14732,  398C,    14
44860.9681366,  0.56584, 62357,  F395,    17
44861.1068287,  0.27300, 34989,  88AD,    20
44861.2196181,  0.70711, 21757,  54FD,    13
44861.3413542,  0.64348,   105,    69,    14
44861.9914120,  0.16109, 42476,  A5EC,    17
44862.0986458,  0.71171, 30687,  77DF,    32
44862.1446181,  0.60799, 61965,  F20D,    15
44862.2668171,  0.24309, 21757,  54FD,    15
44862.5346528,  0.02278, 61965,  F20D,    15
44862.7526273,  0.32839, 27586,  6BC2,    15
44862.9420949,  0.68812, 10970,  2ADA,    32
44863.4489468,  0.94648, 52869,  CE85,    15
44863.6629977,  0.90321, 30639,  77AF,    15
44863.7503935,  0.43766, 29365,  72B5,    24
44863.9494213,  0.05803, 53926,  D2A6,    15
44864.1018519,  0.55012, 34989,  88AD,    15
44864.5070718,  0.90462, 45741,  B2AD,    16
44864.5860532,  0.27571,  4735,  127F,    15
44864.8261574,  0.65555, 61965,  F20D,    15
44865.0441898,  0.75419, 60537,  EC79,    15
44865.4489931,  0.41268, 41555,  A253,    15
44865.4897917,  0.65354, 10970,  2ADA,    26
44865.4951620,  0.79799,  2269,   8DD,    25
44865.6572685,  0.53505, 10970,  2ADA,    17
44865.8539005,  0.97034, 44510,  ADDE,    14
44865.9633565,  0.68738, 36201,  8D69,    14
44866.0162037,  0.27014,  4735,  127F,    15
44866.0366435,  0.58682, 10970,  2ADA,    31
44866.3026273,  0.63760,  2269,   8DD,    15
44866.5953472,  0.80824, 47829,  BAD5,    14
44867.0910185,  0.67809, 27586,  6BC2,    27
44867.1157176,  0.82538, 42476,  A5EC,    14
44867.5854051,  0.90218, 35587,  8B03,    15
44867.7311574,  0.63379, 47829,  BAD5,    15
44867.7317014,  0.70603, 21757,  54FD,    14
44867.8687269,  0.12931, 58535,  E4A7,    14
44868.4491319,  0.61608, 10970,  2ADA,    34
44868.4769444,  0.30521, 11596,  2D4C,    15
44868.6215278,  0.11815, 51282,  C852,    18
44869.0538310,  0.58248, 17441,  4421,    16
44869.2350694,  0.00233, 36201,  8D69,    32
44869.2614352,  0.53066, 44510,  ADDE,    15
44869.3130671,  0.28553, 29365,  72B5,    15
44869.4068866,  0.99054, 27586,  6BC2,    14
44869.8604167,  0.20796, 42476,  A5EC,    13
44869.9002431,  0.25121, 34989,  88AD,    29
44869.9206829,  0.13838, 47829,  BAD5,    14
44870.2226273,  0.18317, 29365,  72B5,    15
44870.4813542,  0.46396, 54254,  D3EE,    23
44870.5982986,  0.05009, 11596,  2D4C,    13
44870.8039468,  0.41488, 47829,  BAD5,    13
44870.9717824,  0.46233, 61965,  F20D,    12
44870.9969676,  0.75155, 51282,  C852,    13
44871.3446528,  0.62160, 28072,  6DA8,    13
44871.3809838,  0.09187, 25822,  64DE,    12
44871.3850116,  0.19260, 29365,  72B5,    13
44871.4722222,  0.93690, 27586,  6BC2,    13
44871.5053819,  0.76245, 60506,  EC5A,    12
44871.7090046,  0.76982, 10970,  2ADA,    12
44871.7688079,  0.03166, 62357,  F395,    18
44871.7993981,  0.07224, 19046,  4A66,    12
44871.8492940,  0.29719, 30687,  77DF,    12
44871.8750579,  0.43032, 16725,  4155,    11
44871.9972801,  0.46651, 51282,  C852,    12
44872.0930671,  0.67927, 36201,  8D69,    13
44872.3024653,  0.83872, 16725,  4155,    13
44872.3660417,  0.09984, 61965,  F20D,    14
44872.4084722,  0.44923, 41555,  A253,    14
44872.4637037,  0.19029, 10970,  2ADA,    13
44872.5846181,  0.53642, 60570,  EC9A,    13
44872.6954282,  0.97454, 47829,  BAD5,    11
44872.7785995,  0.42518, 17722,  453A,    20
44872.8230208,  0.57698, 47829,  BAD5,    14
44872.9709838,  0.92764, 17441,  4421,    14
44873.0333102,  0.00456, 16725,  4155,    31
44873.0751968,  0.23203, 47829,  BAD5,    31
44873.1318634,  0.13447, 60506,  EC5A,    32
44873.1639468,  0.03948, 10970,  2ADA,    14
44873.2348958,  0.82708, 61965,  F20D,    15
44873.2774074,  0.46473, 41555,  A253,    15
44873.6868287,  0.19445, 63381,  F795,    15
44873.9756829,  0.81976, 63381,  F795,    24
44874.1507292,  0.40238, 63381,  F795,    28
44874.1509722,  0.08057, 63381,  F795,    16
44874.1702546,  0.68227, 16725,  4155,    16
44874.2932523,  0.43216, 35587,  8B03,    16
44874.7695023,  0.91554,  2269,   8DD,    16
44874.7910648,  0.78979, 45741,  B2AD,    16
44874.9078009,  0.55908,  9373,  249D,    32
44875.0654630,  0.30043, 52869,  CE85,    16
44875.0985532,  0.18624, 28072,  6DA8,    26
44875.1252894,  0.03226, 53926,  D2A6,    15
44875.1494560,  0.07934, 34989,  88AD,    15
44875.4034491,  0.31013, 28072,  6DA8,    15
44875.4359722,  0.93698, 21757,  54FD,    15
44875.6564120,  0.34010, 47829,  BAD5,    24
44875.6898032,  0.18156,   586,   24A,    15
44875.6974421,  0.66203, 35587,  8B03,    15
44875.7787731,  0.07346, 61965,  F20D,    15
44875.7922222,  0.62719, 47829,  BAD5,    15
44875.8366204,  0.97950, 35587,  8B03,    15
44875.9037731,  0.66659,   105,    69,    14
44875.9703009,  0.42314, 34989,  88AD,    15
44876.1036227,  0.74049, 52869,  CE85,    15
44876.1357292,  0.31337, 30687,  77DF,    23
44876.1640046,  0.39216, 10970,  2ADA,    15
44876.4331713,  0.81993,  7482,  1D3A,    15
44876.5860764,  0.60108,  4735,  127F,    15
44876.6271759,  0.65596, 51282,  C852,    14
44876.6855440,  0.49005, 47829,  BAD5,    14
44876.6930787,  0.58742, 54254,  D3EE,    14
44876.7015625,  0.67367, 21757,  54FD,    14
44877.1773380,  0.42691, 44510,  ADDE,    14
44877.2520833,  0.18031,   586,   24A,    14
44877.3852083,  0.54134, 61965,  F20D,    14
44877.5311921,  0.76718, 45741,  B2AD,    18
44877.6784838,  0.04342, 44510,  ADDE,    22
44877.9364699,  0.51064, 16725,  4155,    21
44877.9535880,  0.23978, 49678,  C20E,    15
44878.0004977,  0.41275, 10970,  2ADA,    14
44878.1901389,  0.58120, 47829,  BAD5,    15
44878.4052083,  0.08189, 17441,  4421,    15
44878.5106597,  0.43960, 21757,  54FD,    25
44878.5435764,  0.03031, 51282,  C852,    25
44878.5657176,  0.62942, 34989,  88AD,    17
44878.6003009,  0.98039, 16725,  4155,    14
44878.6539583,  0.01546, 52869,  CE85,    32
44879.0301620,  0.90899, 29365,  72B5,    16
44879.4990509,  0.12674, 17722,  453A,    20
44879.5728935,  0.56361, 44510,  ADDE,    16
44880.2649537,  0.90275, 42476,  A5EC,    31
44880.3282176,  0.12233, 34989,  88AD,    17
44880.4851273,  0.50222, 15992,  3E78,    17
44880.5605787,  0.84938, 61965,  F20D,    17
44880.5701736,  0.71510, 10970,  2ADA,    17
44880.6676968,  0.23052, 36201,  8D69,    24
44880.7029398,  0.29486, 49453,  C12D,    27
44880.8739120,  0.29683, 17722,  453A,    29
44880.9673727,  0.17985, 42185,  A4C9,    38
44881.2500116,  0.03331,  7482,  1D3A,    27
44881.7109722,  0.14966,   105,    69,    17
44882.1279398,  0.63818,   105,    69,    32
44882.3648958,  0.80577, 10970,  2ADA,    17
44882.4136343,  0.62536, 30687,  77DF,    40
44882.6242130,  0.93064, 54254,  D3EE,    28
44882.6294676,  0.69165,  2269,   8DD,    33
44882.7840625,  0.25877, 42476,  A5EC,    17
44882.7855093,  0.64775, 54254,  D3EE,    33
44882.8060532,  0.21921, 21757,  54FD,    22
44883.1410301,  0.01762,  4735,  127F,    18
44883.1929630,  0.95442, 36201,  8D69,    23
44883.2841435,  0.39655, 61965,  F20D,    36
44883.2906597,  0.81635, 16725,  4155,    23
44883.3437269,  0.11700, 61965,  F20D,    19
44883.3872454,  0.70111, 47829,  BAD5,    30
44883.5123148,  0.50088, 51282,  C852,    41
44883.5610532,  0.76007, 10970,  2ADA,    41
44883.6603472,  0.43886, 61965,  F20D,    35
44883.7904861,  0.89699, 61965,  F20D,    35
44884.1814931,  0.54873, 53926,  D2A6,    36
44884.4139583,  0.88996, 61965,  F20D,    19
44884.4571644,  0.54072, 16725,  4155,    36
44884.4881481,  0.33396, 49678,  C20E,    24
44884.6229861,  0.07512, 29365,  72B5,    24
44884.8512616,  0.46586, 63925,  F9B5,    43
44884.8650116,  0.32738, 58535,  E4A7,    28
44885.0982639,  0.54160, 35587,  8B03,    27
44885.4568519,  0.85732, 42476,  A5EC,    37
44885.5164583,  0.86255, 61965,  F20D,    25
44885.5722338,  0.89094, 34989,  88AD,    36
44885.5775810,  0.47817, 45741,  B2AD,    42
44885.5896875,  0.37406, 16725,  4155,    19
44885.8610417,  0.43284, 23779,  5CE3,    19
44885.9326620,  0.67079, 29365,  72B5,    19
44886.0002546,  0.69899, 28072,  6DA8,    17
44886.1846991,  0.44400,  2269,   8DD,    38
44886.2244907,  0.65836, 60506,  EC5A,    38
44886.4154630,  0.99225, 58119,  E307,    27
44886.5015741,  0.27816, 42476,  A5EC,    19
44886.7206713,  0.32877, 55827,  DA13,    19
44886.7365509,  0.70598, 15992,  3E78,    26
44886.7785764,  0.50846, 60506,  EC5A,    26
44886.8936458,  0.59013, 16725,  4155,    19
44886.9785995,  0.45571, 52869,  CE85,    28
44887.0041204,  0.26129, 52869,  CE85,    36
44887.1235301,  0.31893, 21757,  54FD,    26
44887.1235417,  0.70394, 21757,  54FD,    38
44887.3742245,  0.45276, 62357,  F395,    27
44887.4922569,  0.22620, 10970,  2ADA,    26
44887.7096875,  0.81760, 27586,  6BC2,    19
44887.8131134,  0.65135, 44510,  ADDE,    18
44888.4936690,  0.97655, 61965,  F20D,    26
44888.9432986,  0.13051,  7482,  1D3A,    19
44889.0146875,  0.15427, 10970,  2ADA,    19
44889.1928241,  0.30482, 17543,  4487,    44
44889.4572454,  0.92178, 53926,  D2A6,    18
44889.6010417,  0.69307, 11596,  2D4C,    25
44889.6943519,  0.44025, 53926,  D2A6,    25
44889.7736111,  0.11786,  2269,   8DD,    43
44889.7744792,  0.47772, 17441,  4421,    19
44889.9974769,  0.90748, 51282,  C852,    44
44890.4151157,  0.32448, 49453,  C12D,    37
44890.7027431,  0.99585, 47829,  BAD5,    33
44890.7865509,  0.70790,   105,    69,    25
44890.8225926,  0.97269, 36201,  8D69,    19
44890.8468519,  0.51468, 62357,  F395,    25
44891.1162037,  0.86123, 30687,  77DF,    36
44891.2167245,  0.29688, 44510,  ADDE,    37
44891.2320949,  0.34867, 61965,  F20D,    37
44891.5890856,  0.02741, 10970,  2ADA,    19
44891.5910301,  0.95099, 63381,  F795,    25
44891.8368171,  0.99071, 16725,  4155,    34
44891.8949421,  0.68908, 47829,  BAD5,    24
44892.0588079,  0.74781, 21757,  54FD,    37
44892.0691898,  0.68759, 44510,  ADDE,    43
44892.3623380,  0.28346, 27586,  6BC2,    37
44892.4070370,  0.55977, 34989,  88AD,    25
44893.0345718,  0.77229, 47829,  BAD5,    18
44893.4778819,  0.62951, 10970,  2ADA,    18
44893.5153356,  0.19939, 16725,  4155,    18
44893.7732755,  0.86731, 58119,  E307,    19
44893.9258102,  0.32033,  7482,  1D3A,    37
44893.9302315,  0.14174, 16725,  4155,    19
44893.9558912,  0.77210, 36201,  8D69,    37
44893.9562616,  0.99873, 36201,  8D69,    18
44894.0215394,  0.79903, 11596,  2D4C,    19
44894.4735995,  0.25233, 10970,  2ADA,    31
44894.8760648,  0.87868, 34989,  88AD,    25
44894.9476620,  0.15708, 16725,  4155,    24
44894.9832523,  0.98632, 47829,  BAD5,    36
44895.2546181,  0.36773, 42476,  A5EC,    18
44895.3837269,  0.01286, 36201,  8D69,    37
44895.6345255,  0.08405, 44510,  ADDE,    27
44895.7300347,  0.69374, 47829,  BAD5,    23
44895.9982639,  0.30816, 35587,  8B03,    23
44896.3526736,  0.82617, 47829,  BAD5,    25
44896.4298958,  0.55029, 51282,  C852,    24
44896.6536458,  0.10150, 26734,  686E,    18
44896.6803356,  0.98392, 10970,  2ADA,    36
44896.8836227,  0.88254, 10970,  2ADA,    19
44896.9699884,  0.78223, 29365,  72B5,    24
44897.0393171,  0.16233, 42185,  A4C9,    36
44897.0398843,  0.41700, 42185,  A4C9,    36
44897.4267245,  0.61166, 10970,  2ADA,    18
44897.8219097,  0.88310, 15424,  3C40,    18
44898.1035185,  0.06569, 44510,  ADDE,    19
44898.1589931,  0.13529, 29365,  72B5,    18
44898.1991435,  0.93825, 49921,  C301,    19
44898.3604514,  0.43125, 17722,  453A,    16
44898.5414468,  0.42403, 51282,  C852,    36
44898.5667940,  0.31219, 51282,  C852,    36
44898.7884838,  0.64343, 49921,  C301,    23
44898.8494213,  0.20181, 47829,  BAD5,    36
44898.8598611,  0.91581, 60570,  EC9A,    18
44899.0640972,  0.90503, 49678,  C20E,    18
44899.2484722,  0.36314, 27586,  6BC2,    19
44899.3711806,  0.79339, 25150,  623E,    29
44899.4092245,  0.29705, 42476,  A5EC,    37
44899.4385880,  0.23030, 51282,  C852,    25
44899.7137616,  0.28380,  2269,   8DD,    37
44899.8287963,  0.99647, 49453,  C12D,    22
44899.8389583,  0.94528, 17441,  4421,    19
44899.8631366,  0.12106, 25822,  64DE,    31
44899.8955671,  0.01066,  2269,   8DD,    18
44900.0437847,  0.78520, 58535,  E4A7,    19
44900.1236343,  0.22116, 27586,  6BC2,    37
44900.1395486,  0.28879, 62357,  F395,    18
44900.3134259,  0.05388, 36201,  8D69,    37
44900.3219560,  0.83491,   586,   24A,    26
44900.3235532,  0.18036, 53926,  D2A6,    19
44900.4308102,  0.37361, 61965,  F20D,    25
44900.6371296,  0.54285, 55827,  DA13,    35
44900.8160764,  0.41978, 10970,  2ADA,    18
44901.2157292,  0.56419, 29365,  72B5,    32
44901.4171412,  0.02518,  9373,  249D,    27
44901.7055671,  0.25063, 28072,  6DA8,    42
44901.7796875,  0.41680, 21757,  54FD,    36
44901.9850231,  0.63254, 44510,  ADDE,    27
44902.0152662,  0.22778, 15992,  3E78,    19
44902.2992477,  0.95337,  4735,  127F,    37
44902.5004167,  0.81124, 42476,  A5EC,    37
44902.7738889,  0.98589, 62357,  F395,    34
44903.3191435,  0.67783, 49678,  C20E,    24
44903.3804514,  0.55461, 27586,  6BC2,    18
44903.7789815,  0.67727, 17441,  4421,    18
44903.8325463,  0.79031, 34989,  88AD,    35
44903.8402083,  0.31229, 44510,  ADDE,    18
44903.9115972,  0.72407, 55827,  DA13,    18
44903.9170718,  0.31723, 21757,  54FD,    24
44904.1174769,  0.71258,  2269,   8DD,    19
44904.3759722,  0.71241, 25110,  6216,    27
44904.6462269,  0.20945, 36201,  8D69,    18
44904.7004514,  0.34226, 44510,  ADDE,    24
44904.7094792,  0.32390, 21757,  54FD,    36
44904.7396528,  0.35810, 17262,  436E,    18
44905.1538079,  0.43380, 30639,  77AF,    17
44905.2033102,  0.44124, 58535,  E4A7,    18
44905.2817708,  0.94168, 10970,  2ADA,    26
44905.3861806,  0.77611, 10970,  2ADA,    20
44905.3958333,  0.54852, 11596,  2D4C,    37
44905.4367014,  0.43221, 29365,  72B5,    30
44905.5370718,  0.82538,   586,   24A,    36
44905.5885417,  0.64010, 41555,  A253,    19
44905.5900926,  0.05719,  2269,   8DD,    19
44905.6081713,  0.55591, 25110,  6216,    19
44905.9715509,  0.35172, 17441,  4421,    19
44906.0425694,  0.01488, 44510,  ADDE,    45
44906.2136690,  0.49497, 29365,  72B5,    39
44906.2781597,  0.96940, 57014,  DEB6,    27
44906.2957523,  0.08225,  7482,  1D3A,    19
44906.8788426,  0.67847, 34989,  88AD,    27
44906.9311806,  0.33441, 27586,  6BC2,    39
44907.0500231,  0.64576, 51282,  C852,    39
44907.2090162,  0.85905, 45741,  B2AD,    19
44907.4014931,  0.22416, 15992,  3E78,    30
44907.4807523,  0.07049, 60537,  EC79,    19
44907.6645370,  0.11498, 34989,  88AD,    28
44907.7257986,  0.53416, 42476,  A5EC,    38
44907.8037616,  0.42518, 25110,  6216,    27
44907.9704051,  0.67862, 52869,  CE85,    27
44908.1112037,  0.05976, 62357,  F395,    40
44908.1211921,  0.84885, 60537,  EC79,    28
44908.3491782,  0.02542, 10970,  2ADA,    28
44908.5270023,  0.71385, 44510,  ADDE,    27
44908.8199884,  0.37176, 53926,  D2A6,    39
44909.2436458,  0.16133, 49921,  C301,    28
44909.2763310,  0.79288, 63925,  F9B5,    27
44909.2787037,  0.03192, 53926,  D2A6,    28
44909.4579861,  0.04346, 61965,  F20D,    37
44909.5075116,  0.66681, 42185,  A4C9,    39
44909.5248843,  0.58176, 15424,  3C40,    19
44909.5480787,  0.15045, 10970,  2ADA,    60
44909.6234259,  0.46869, 61965,  F20D,    37
44909.8292593,  0.55267, 47829,  BAD5,    19
44910.1490509,  0.36007, 60506,  EC5A,    45
44910.1622454,  0.07450, 36201,  8D69,    39
44910.1700231,  0.04978, 17441,  4421,    38
44910.2427778,  0.10519,  4735,  127F,    19
44910.3016088,  0.81609, 10970,  2ADA,    19
44910.3462153,  0.73831, 44510,  ADDE,    40
44910.5501736,  0.41212,   586,   24A,    19
44910.9891204,  0.08371, 16725,  4155,    19
44911.1482639,  0.40130, 21757,  54FD,    19
44911.3281944,  0.00610, 34989,  88AD,    28
44911.3378704,  0.03478, 17722,  453A,    19
44911.3844213,  0.49576, 17543,  4487,    38
44911.7828819,  0.84451, 61965,  F20D,    39
44911.7977199,  0.73221, 51282,  C852,    19
44911.9687269,  0.17522, 21757,  54FD,    40
44912.1027662,  0.24079, 10970,  2ADA,    19
44912.1983912,  0.30713, 36201,  8D69,    19
44912.2943403,  0.49936, 29365,  72B5,    38
44912.2967014,  0.27912, 51282,  C852,    28
44912.3523727,  0.98618, 26734,  686E,    38
44912.3854977,  0.29429, 15424,  3C40,    27
44912.5527083,  0.86311, 27586,  6BC2,    19
44912.8297454,  0.53260, 30687,  77DF,    35
44912.9142361,  0.89349, 55827,  DA13,    42
44913.1609144,  0.21653, 17722,  453A,    27
44913.1798611,  0.84076, 10970,  2ADA,    36
44913.2798727,  0.23717, 10970,  2ADA,    36
44913.3279282,  0.21189, 62357,  F395,    38
44913.3668634,  0.13932, 47829,  BAD5,    34
44913.4857292,  0.09857, 44510,  ADDE,    38
44913.6305324,  0.01159, 51282,  C852,    28
44913.9176157,  0.82569, 61965,  F20D,    19
44913.9696412,  0.99153, 47829,  BAD5,    35
44914.1137616,  0.64555, 42476,  A5EC,    39
44914.4980093,  0.76754, 44510,  ADDE,    19
44914.8535069,  0.25500, 47829,  BAD5,    38
44914.9326389,  0.50556,   586,   24A,    27
44915.0308102,  0.45674, 55827,  DA13,    42
44915.1425810,  0.36845, 34989,  88AD,    26
44915.1801505,  0.67499, 62357,  F395,    19
44915.2142245,  0.63107,  7482,  1D3A,    34
44915.5752778,  0.96604, 35587,  8B03,    39
44915.6128819,  0.16932, 47829,  BAD5,    27
44915.7367708,  0.81086, 10970,  2ADA,    39
44916.0920718,  0.77471, 44510,  ADDE,    38
44916.2592824,  0.98111, 63381,  F795,    27
44916.2945718,  0.20527,  9373,  249D,    28
44916.3893403,  0.79060, 10970,  2ADA,    27
44916.3897801,  0.26395, 10970,  2ADA,    19
44916.5764352,  0.14659, 57014,  DEB6,    37
44916.6252778,  0.69189, 47829,  BAD5,    19
44916.7009954,  0.63095, 44510,  ADDE,    19
44916.8678356,  0.57453, 30639,  77AF,    19
44916.9477546,  0.98049, 21757,  54FD,    19
44917.2150579,  0.58567, 42476,  A5EC,    27
44917.4411458,  0.52053, 36201,  8D69,    39
44917.4462847,  0.46080, 52869,  CE85,    19
44917.6553819,  0.97125, 63381,  F795,    27
44918.0805093,  0.75909, 16725,  4155,    12
44918.1868634,  0.28896,   586,   24A,    35
44918.5483796,  0.82538, 34989,  88AD,    19
44918.6324884,  0.77351, 51282,  C852,    38
44918.7120370,  0.64456, 58535,  E4A7,    18
44918.9154977,  0.81367, 34989,  88AD,    38
44919.0235301,  0.56016, 58535,  E4A7,    27
44919.0660648,  0.20318, 35587,  8B03,    19
44919.1369560,  0.23810, 15992,  3E78,    28
44919.1780671,  0.22154, 45741,  B2AD,    20
44919.3602778,  0.85519, 25150,  623E,    41
44920.3172801,  0.56313, 61965,  F20D,    19
44920.5113194,  0.72275, 60537,  EC79,    19
44920.7455324,  0.32976, 44510,  ADDE,    39
44920.8307639,  0.40156, 35587,  8B03,    39
